"id","name","department","state"
"1","Abriaquí","1","1"
"2","Acacías","16","1"
"3","Acandí","12","1"
"4","Acevedo","13","1"
"5","Achí","4","1"
"6","Agrado","13","1"
"7","Agua de Dios","11","1"
"8","Aguachica","9","1"
"9","Aguada","21","1"
"10","Aguadas","6","1"
"11","Aguazul","26","1"
"12","Agustín Codazzi","9","1"
"13","Aipe","13","1"
"14","Albania","7","1"
"15","Albania","14","1"
"16","Albania","21","1"
"17","Albán","11","1"
"18","Albán (San José)","17","1"
"19","Alcalá","24","1"
"20","Alejandria","1","1"
"21","Algarrobo","15","1"
"22","Algeciras","13","1"
"23","Almaguer","8","1"
"24","Almeida","5","1"
"25","Alpujarra","23","1"
"26","Altamira","13","1"
"27","Alto Baudó (Pie de Pato)","12","1"
"28","Altos del Rosario","4","1"
"29","Alvarado","23","1"
"30","Amagá","1","1"
"31","Amalfi","1","1"
"32","Ambalema","23","1"
"33","Anapoima","11","1"
"34","Ancuya","17","1"
"35","Andalucía","24","1"
"36","Andes","1","1"
"37","Angelópolis","1","1"
"38","Angostura","1","1"
"39","Anolaima","11","1"
"40","Anorí","1","1"
"41","Anserma","6","1"
"42","Ansermanuevo","24","1"
"43","Anzoátegui","23","1"
"44","Anzá","1","1"
"45","Apartadó","1","1"
"46","Apulo","11","1"
"47","Apía","20","1"
"48","Aquitania","5","1"
"49","Aracataca","15","1"
"50","Aranzazu","6","1"
"51","Aratoca","21","1"
"52","Arauca","25","1"
"53","Arauquita","25","1"
"54","Arbeláez","11","1"
"55","Arboleda (Berruecos)","17","1"
"56","Arboledas","18","1"
"57","Arboletes","1","1"
"58","Arcabuco","5","1"
"59","Arenal","4","1"
"60","Argelia","1","1"
"61","Argelia","8","1"
"62","Argelia","24","1"
"63","Ariguaní (El Difícil)","15","1"
"64","Arjona","4","1"
"65","Armenia","1","1"
"66","Armenia","19","1"
"67","Armero (Guayabal)","23","1"
"68","Arroyohondo","4","1"
"69","Astrea","9","1"
"70","Ataco","23","1"
"71","Atrato (Yuto)","12","1"
"72","Ayapel","10","1"
"73","Bagadó","12","1"
"74","Bahía Solano (Mútis)","12","1"
"75","Bajo Baudó (Pizarro)","12","1"
"76","Balboa","8","1"
"77","Balboa","20","1"
"78","Baranoa","2","1"
"79","Baraya","13","1"
"80","Barbacoas","17","1"
"81","Barbosa","1","1"
"82","Barbosa","21","1"
"83","Barichara","21","1"
"84","Barranca de Upía","16","1"
"85","Barrancabermeja","21","1"
"86","Barrancas","14","1"
"87","Barranco de Loba","4","1"
"88","Barranquilla","2","1"
"89","Becerríl","9","1"
"90","Belalcázar","6","1"
"91","Bello","1","1"
"92","Belmira","1","1"
"93","Beltrán","11","1"
"94","Belén","5","1"
"95","Belén","17","1"
"96","Belén de Bajirá","12","1"
"97","Belén de Umbría","20","1"
"98","Belén de los Andaquíes","7","1"
"99","Berbeo","5","1"
"100","Betania","1","1"
"101","Beteitiva","5","1"
"102","Betulia","1","1"
"103","Betulia","21","1"
"104","Bituima","11","1"
"105","Boavita","5","1"
"106","Bochalema","18","1"
"107","Bogotá D.C.","3","1"
"108","Bojacá","11","1"
"109","Bojayá (Bellavista)","12","1"
"110","Bolívar","1","1"
"111","Bolívar","8","1"
"112","Bolívar","21","1"
"113","Bolívar","24","1"
"114","Bosconia","9","1"
"115","Boyacá","5","1"
"116","Briceño","1","1"
"117","Briceño","5","1"
"118","Bucaramanga","21","1"
"119","Bucarasica","18","1"
"120","Buenaventura","24","1"
"121","Buenavista","5","1"
"122","Buenavista","10","1"
"123","Buenavista","19","1"
"124","Buenavista","22","1"
"125","Buenos Aires","8","1"
"126","Buesaco","17","1"
"127","Buga","24","1"
"128","Bugalagrande","24","1"
"129","Burítica","1","1"
"130","Busbanza","5","1"
"131","Cabrera","11","1"
"132","Cabrera","21","1"
"133","Cabuyaro","16","1"
"134","Cachipay","11","1"
"135","Caicedo","1","1"
"136","Caicedonia","24","1"
"137","Caimito","22","1"
"138","Cajamarca","23","1"
"139","Cajibío","8","1"
"140","Cajicá","11","1"
"141","Calamar","4","1"
"142","Calamar","31","1"
"143","Calarcá","19","1"
"144","Caldas","1","1"
"145","Caldas","5","1"
"146","Caldono","8","1"
"147","California","21","1"
"148","Calima (Darién)","24","1"
"149","Caloto","8","1"
"150","Cali","24","1"
"151","Campamento","1","1"
"152","Campo de la Cruz","2","1"
"153","Campoalegre","13","1"
"154","Campohermoso","5","1"
"155","Canalete","10","1"
"156","Candelaria","2","1"
"157","Candelaria","24","1"
"158","Cantagallo","4","1"
"159","Cantón de San Pablo","12","1"
"160","Caparrapí","11","1"
"161","Capitanejo","21","1"
"162","Caracolí","1","1"
"163","Caramanta","1","1"
"164","Carcasí","21","1"
